INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION
54 MERCER STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004740032,12/01/2021,Open,Site downloaded for cleaning,,983996,202270,40.721861,-74.000916,10013,  47  ,1007049,SoHo-TriBeCa-Civic Center-Little Italy,"(40.721861, -74.000916)"
41-40 JUNCTION BOULEVARD,QUEENS,04 QUEENS,Precinct 110,21,4015987501,09/28/2021,Open,Site downloaded for cleaning,,1020717,211381,40.746794,-73.868391,11368, 465  ,4597007,Elmhurst,"(40.746794, -73.868391)"
645 VAN NEST AVENUE,BRONX,11 BRONX,Precinct 49,15,2040300031,08/19/2021,Open,Site downloaded for cleaning,,1021086,246505,40.843198,-73.866867,10460, 236  ,2042970,Van Nest-Morris Park-Westchester Square,"(40.843198, -73.866867)"
104 MARCUS GARVEY BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017610039,08/24/2021,Open,Graffiti Reported,,1000749,192593,40.695285,-73.940501,11206, 283  ,3048916,Stuyvesant Heights,"(40.695285, -73.940501)"
74 WEST    3 STREET,MANHATTAN,02 MANHATTAN,Precinct 6,01,1005370013,12/02/2021,Open,Site downloaded for cleaning,,984680,205087,40.729593,-73.998449,10012,  65  ,1008637,West Village,"(40.729593, -73.998449)"
7301 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059180010,09/02/2021,Open,Site downloaded for cleaning,,976683,169799,40.632733,-74.027263,11209,  66  ,3147849,Bay Ridge,"(40.632733, -74.027263)"
412 39 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007090011,07/21/2021,Open,Site downloaded for cleaning,,982698,176917,40.652273,-74.005593,11232,  84  ,3010526,Sunset Park West,"(40.652273, -74.005593)"
128 FLUSHING AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3020320029,10/12/2021,Open,Graffiti Reported,,992026,193535,40.697883,-73.971957,11205, 211  ,3058017,Fort Greene,"(40.697883, -73.971957)"
1719 NOSTRAND AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3049300050,12/29/2021,Open,Site to be cleaned.,,998452,173888,40.643948,-73.948824,11226, 826  ,3110685,Erasmus,"(40.643948, -73.948824)"
5218 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008100047,11/22/2021,Open,Site downloaded for cleaning,,982850,172389,40.639845,-74.005044,11220, 106  ,3014106,Sunset Park East,"(40.639845, -74.005044)"
37-42 58 STREET,QUEENS,02 QUEENS,Precinct 108,26,4012120032,12/22/2021,Open,Graffiti Reported,,1010654,212304,40.749363,-73.904705,11377, 257  ,4027671,Woodside,"(40.749363, -73.904705)"
135 EAST HOUSTON STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004220047,06/01/2021,Open,Graffiti Reported,,986982,202824,40.723382,-73.990144,10002,  3601,1087359,Chinatown,"(40.723382, -73.990144)"
25-01 ASTORIA BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4008610015,08/11/2021,Open,Site downloaded for cleaning,,1005681,220291,40.771299,-73.922627,11102,  69  ,4018510,Old Astoria,"(40.771299, -73.922627)"
1963 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063450043,12/16/2021,Open,Site to be cleaned.,,984576,159681,40.604964,-73.998826,11214, 284  ,3165809,Bensonhurst West,"(40.604964, -73.998826)"
2809 CHURCH AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,40,3050910067,08/11/2021,Open,Graffiti Reported,,997917,176368,40.650756,-73.950747,11226, 820  ,3116992,Prospect Lefferts Gardens-Wingate,"(40.650756, -73.950747)"
118 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,33,3017370021,08/23/2021,Open,Site downloaded for cleaning,,997398,192647,40.696328,-73.952762,11205,1237  ,3414109,Bedford,"(40.696328, -73.952762)"
458 EAST  101 STREET,BROOKLYN,18 BROOKLYN,Precinct 69,42,3081330064,06/03/2021,Open,Graffiti Reported,,1011015,176453,40.650959,-73.903544,11236,1098  ,3228743,East New York,"(40.650959, -73.903544)"
6801 4 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058640010,07/28/2021,Open,Site downloaded for cleaning,,977792,170702,40.635212,-74.023268,11220, 130  ,3145259,Bay Ridge,"(40.635212, -74.023268)"
1902 MERMAID AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,47,3070600012,11/29/2021,Open,Site downloaded for cleaning,,988162,149235,40.576291,-73.985918,11224, 326  ,3189559,Seagate-Coney Island,"(40.576291, -73.985918)"
1113 CHURCH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050720035,12/16/2021,Open,Site to be cleaned.,,992823,175026,40.647079,-73.969106,11218, 506  ,3116378,Flatbush,"(40.647079, -73.969106)"
4502 CHURCH AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3048990004,09/30/2021,Open,Site downloaded for cleaning,,1002273,176647,40.651514,-73.935048,11203, 860  ,3109900,East Flatbush-Farragut,"(40.651514, -73.935048)"
1961 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063450044,12/06/2021,Open,Site downloaded for cleaning,,984569,159687,40.604981,-73.998851,11214, 284  ,3165810,Bensonhurst West,"(40.604981, -73.998851)"
5102 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008020039,12/08/2021,Open,Site downloaded for cleaning,,983029,172616,40.640468,-74.004400,11220, 108  ,3013762,Sunset Park East,"(40.640468, -74.0044)"
41-18 BERRIAN BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4008020041,06/02/2021,Open,Site downloaded for cleaning,,1013003,223295,40.779523,-73.896180,11105, 12301,4015674,Steinway,"(40.779523, -73.89618)"
167 DEVOE STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3027657501,07/06/2021,Open,Site downloaded for cleaning,,999867,199360,40.713860,-73.943666,11211, 497  ,3068912,East Williamsburg,"(40.71386, -73.943666)"
24 STOCKHOLM STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032530020,11/01/2021,Open,Graffiti Reported,,1004532,192613,40.695332,-73.926859,11221, 395  ,3074045,Bushwick South,"(40.695332, -73.926859)"
5124/ 4 AV,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,08/05/2021,Open,Property Research Required,,,,,,,,,,
36-19 35 STREET,QUEENS,01 QUEENS,Precinct 114,26,4006350026,09/21/2021,Open,Graffiti Reported,,1004487,214197,40.754575,-73.926956,11106,  55  ,4009517,Queensbridge-Ravenswood-Long Island City,"(40.754575, -73.926956)"
103-26 ROOSEVELT AVENUE,QUEENS,04 QUEENS,Precinct 110,21,4019750009,09/09/2021,Open,Graffiti Reported,,1022376,212513,40.749894,-73.862397,11368, 405  ,4048557,North Corona,"(40.749894, -73.862397)"
2222 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073550009,09/29/2021,Open,Graffiti Reported,,998367,157738,40.599620,-73.949164,11229, 576  ,3199890,Madison,"(40.59962, -73.949164)"
1695 PRESIDENT STREET,BROOKLYN,09 BROOKLYN,Precinct 71,41,3014030001,10/20/2021,Open,Site downloaded for cleaning,,1003488,182287,40.666992,-73.930653,11213, 349  ,3037787,Crown Heights North,"(40.666992, -73.930653)"
333 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032360001,12/17/2021,Open,Site to be cleaned.,,1005729,194752,40.701200,-73.922536,11237, 429  ,3073582,Bushwick North,"(40.7012, -73.922536)"
37 ELDRIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1003010013,11/02/2021,Open,Site downloaded for cleaning,,986122,200016,40.715675,-73.993247,10002,  16  ,1081957,Chinatown,"(40.715675, -73.993247)"
195-14 47 AVENUE,QUEENS,11 QUEENS,Precinct 111,20,4056140036,10/20/2021,Open,Site downloaded for cleaning,,1043593,213525,40.752554,-73.785813,11358,1429  ,4126957,Auburndale,"(40.752554, -73.785813)"
228-01 LINDEN BOULEVARD,QUEENS,13 QUEENS,Precinct 105,27,4113290007,09/23/2021,Open,Graffiti Reported,,1058283,191839,40.692921,-73.733031,11411, 600  ,4244620,Cambria Heights,"(40.692921, -73.733031)"
527 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050390009,09/23/2021,Open,Graffiti Reported,,997191,179400,40.659079,-73.953358,11225, 802  ,3115449,Prospect Lefferts Gardens-Wingate,"(40.659079, -73.953358)"
37-25 58 STREET,QUEENS,02 QUEENS,Precinct 108,26,4012130038,12/22/2021,Open,Site to be cleaned.,,1010688,212386,40.749588,-73.904582,11377, 259  ,4027702,Woodside,"(40.749588, -73.904582)"
67-59 METROPOLITAN AVENUE,QUEENS,05 QUEENS,Precinct 104,30,4027900038,10/04/2021,Open,Site downloaded for cleaning,,1015288,198794,40.712255,-73.887653,11379, 65702,4518606,Middle Village,"(40.712255, -73.887653)"
1535 GREENE AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032920029,06/02/2021,Open,Graffiti Reported,,1008243,195831,40.704155,-73.913465,11237, 443  ,3075245,Bushwick North,"(40.704155, -73.913465)"
707 EAST  235 STREET,BRONX,12 BRONX,Precinct 47,11,2049990049,12/17/2021,Open,Site to be cleaned.,,1024023,265292,40.894750,-73.856140,10466, 434  ,2100887,Woodlawn-Wakefield,"(40.89475, -73.85614)"
123 EAST   98 STREET,BROOKLYN,16 BROOKLYN,Precinct 73,41,3035310001,07/20/2021,Open,Site downloaded for cleaning,,1005922,181223,40.664066,-73.921883,11212, 900  ,3081158,Brownsville,"(40.664066, -73.921883)"
417 PULASKI STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015960181,11/16/2021,Open,Site downloaded for cleaning,,1002672,192191,40.694159,-73.933734,11221, 287  ,3397945,Stuyvesant Heights,"(40.694159, -73.933734)"
222 VAN BRUNT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005070050,04/22/2021,Closed,Cleaning crew dispatched.  Property cleaned.,12/09/2021,981926,187463,40.681219,-74.008379,11231,  59  ,3008227,Carroll Gardens-Columbia Street-Red Hook,"(40.681219, -74.008379)"
86 STEUBEN STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,3018930041,10/14/2021,Open,Graffiti Reported,,994407,192444,40.694886,-73.963372,11205, 191  ,3000000,Clinton Hill,"(40.694886, -73.963372)"
773 52 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008020049,12/08/2021,Open,Graffiti Reported,,982693,172610,40.640451,-74.005610,11220, 108  ,3013771,Sunset Park East,"(40.640451, -74.00561)"
47-52 37 STREET,QUEENS,02 QUEENS,Precinct 108,26,4002290001,09/24/2021,Open,Site downloaded for cleaning,,1004043,209349,40.741269,-73.928573,11101, 189  ,4003261,Hunters Point-Sunnyside-West Maspeth,"(40.741269, -73.928573)"
5802 6 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008560037,09/08/2021,Open,Graffiti Reported,,980675,172157,40.639207,-74.012881,11220, 102  ,3016073,Sunset Park East,"(40.639207, -74.012881)"
2901 BRAGG STREET,BROOKLYN,15 BROOKLYN,Precinct 61,46,3088150525,10/29/2021,Open,Graffiti Reported,,1002890,151928,40.583686,-73.932896,11235, 622  ,3255299,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.583686, -73.932896)"
372 TOMPKINS AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018290036,10/06/2021,Open,Graffiti Reported,,999733,188698,40.684596,-73.944174,11216, 267  ,3322551,Bedford,"(40.684596, -73.944174)"
1116 WILLOUGHBY AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032090012,10/07/2021,Open,Site downloaded for cleaning,,1004891,194837,40.701436,-73.925558,11237, 429  ,3072931,Bushwick North,"(40.701436, -73.925558)"
319 SCHERMERHORN STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3001677501,10/14/2021,Open,Graffiti Reported,,989361,189663,40.687257,-73.981571,11217,  37  ,3424473,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"(40.687257, -73.981571)"
32-14 49 STREET,QUEENS,01 QUEENS,Precinct 114,26,4007340044,06/14/2021,Open,Site downloaded for cleaning,,1008530,214326,40.754919,-73.912363,11103, 161  ,4013643,Astoria,"(40.754919, -73.912363)"
1556 BROADWAY,BROOKLYN,16 BROOKLYN,Precinct 73,41,3014920024,08/06/2021,Open,Site downloaded for cleaning,,1007565,189215,40.685998,-73.915933,11221, 373  ,3347095,Ocean Hill,"(40.685998, -73.915933)"
90 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004090039,12/02/2021,Open,Site downloaded for cleaning,,987240,201001,40.718331,-73.989239,10002,  18  ,1082501,Chinatown,"(40.718331, -73.989239)"
1735 BATH AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3064010006,08/19/2021,Open,Graffiti Reported,,982228,159539,40.604574,-74.007282,11214, 178  ,3167676,Bath Beach,"(40.604574, -74.007282)"
59-63 56 ROAD,QUEENS,05 QUEENS,Precinct 104,30,4026890047,09/20/2021,Open,Site downloaded for cleaning,,1009989,203278,,,,,,,
180 VAN BRUNT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005020001,10/18/2021,Open,Site downloaded for cleaning,,982205,187776,40.682334,-74.007070,11231,  59  ,3336445,Carroll Gardens-Columbia Street-Red Hook,"(40.682334, -74.00707)"
80-26 ROOSEVELT AVENUE,QUEENS,04 QUEENS,Precinct 110,25,4014910008,10/21/2021,Open,Graffiti Reported,,1015983,211619,40.747465,-73.885475,11372, 26901,4036845,Elmhurst,"(40.747465, -73.885475)"
1001 OCEANVIEW AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3087050040,10/29/2021,Open,Graffiti Reported,,995461,150625,40.580100,-73.959641,11235, 61003,3245297,Brighton Beach,"(40.5801, -73.959641)"
43-06 NATIONAL STREET,QUEENS,04 QUEENS,Precinct 110,21,4016280039,09/28/2021,Open,Site downloaded for cleaning,,1021993,211366,40.746747,-73.863786,11368, 409  ,4314513,North Corona,"(40.746747, -73.863786)"
101 BAY   46 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,47,3069010020,12/07/2021,Open,Graffiti Reported,,987964,154376,40.590402,-73.986628,11214, 306  ,3186929,Gravesend,"(40.590402, -73.986628)"
252 EAST   62 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,04,1014160028,12/02/2021,Open,Site downloaded for cleaning,,994209,217235,40.762931,-73.964049,10065, 110  ,1043798,Lenox Hill-Roosevelt Island,"(40.762931, -73.964049)"
374 RALPH AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,41,3013440125,12/20/2021,Open,Graffiti Reported,,1005907,185576,40.676014,-73.921923,11233, 307  ,3035746,Crown Heights North,"(40.676014, -73.921923)"
86 RALPH AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,41,3016480049,08/12/2021,Open,Site downloaded for cleaning,,1005445,189646,40.687186,-73.923576,11221, 385  ,3045343,Stuyvesant Heights,"(40.687186, -73.923576)"
223 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,35,3012750009,10/20/2021,Open,Graffiti Reported,,997184,182932,40.668774,-73.953376,11225, 321  ,3033180,Crown Heights South,"(40.668774, -73.953376)"
604 WEST   47 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010940037,08/11/2021,Open,Graffiti Reported,,985255,217676,40.764147,-73.996372,10036, 129  ,1027113,Clinton,"(40.764147, -73.996372)"
583 3 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,39,3010460004,08/13/2021,Open,Graffiti Reported,,985821,182457,40.667479,-73.994337,11215, 117  ,3023836,Park Slope-Gowanus,"(40.667479, -73.994337)"
649 GRAND STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3027810034,05/26/2021,Open,Graffiti Reported,,999125,198470,40.711419,-73.946345,11211, 503  ,3069393,East Williamsburg,"(40.711419, -73.946345)"
134 DELANCEY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003530082,09/01/2021,Open,Site downloaded for cleaning,,987802,200949,40.718254,-73.987237,10002,  1402,1084497,Lower East Side,"(40.718254, -73.987237)"
197 NEPTUNE AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3072640018,10/01/2021,Open,Site downloaded for cleaning,,995187,151252,40.581821,-73.960626,11235, 366  ,3196513,Brighton Beach,"(40.581821, -73.960626)"
7623 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3062360050,07/30/2021,Closed,Cleaning crew dispatched.  Property cleaned.,09/14/2021,984182,163230,40.614705,-74.000245,11214, 264  ,3160793,Bensonhurst West,"(40.614705, -74.000245)"
204 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019300030,05/25/2021,Open,Site downloaded for cleaning,,998452,234066,40.809122,-73.948697,10027, 222  ,1058640,Central Harlem South,"(40.809122, -73.948697)"
4035 PARK AVENUE,BRONX,03 BRONX,Precinct 42,15,2028980024,11/12/2021,Open,Graffiti Reported,,1011494,246699,40.843642,-73.901606,10457, 165  ,2129351,Claremont-Bathgate,"(40.843642, -73.901606)"
340 FLUSHING AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,33,3018810033,11/15/2021,Open,Site downloaded for cleaning,,994933,193670,40.698250,-73.961473,11205, 191  ,3329773,Clinton Hill,"(40.69825, -73.961473)"
37-22 JUNCTION BOULEVARD,QUEENS,03 QUEENS,Precinct 115,21,4014840015,09/09/2021,Open,Graffiti Reported,,1020131,212894,40.750949,-73.870498,11368, 273  ,4036658,Jackson Heights,"(40.750949, -73.870498)"
3043 AVENUE V,BROOKLYN,15 BROOKLYN,Precinct 61,46,3073670036,09/29/2021,Open,Site downloaded for cleaning,,1001985,157477,40.598823,-73.936788,11229, 570  ,3200479,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.598823, -73.936788)"
46-05 48 AVENUE,QUEENS,02 QUEENS,Precinct 108,26,4022840059,09/24/2021,Open,Graffiti Reported,,1006613,208634,40.739301,-73.919301,11377, 235  ,4052883,Hunters Point-Sunnyside-West Maspeth,"(40.739301, -73.919301)"
7502 18 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3062260040,12/16/2021,Open,Site to be cleaned.,,985335,162715,40.613292,-73.996096,11214, 264  ,3160239,Bensonhurst West,"(40.613292, -73.996096)"
190 EAST   98 STREET,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046330013,07/20/2021,Open,Site downloaded for cleaning,,1006356,180704,40.662640,-73.920320,11212, 892  ,3100736,Brownsville,"(40.66264, -73.92032)"
8510 19 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063440033,12/07/2021,Open,Property Research Required,,984256,160207,40.606408,-73.999978,11214, 278  ,3165771,Bensonhurst West,"(40.606408, -73.999978)"
1426 CROMWELL AVENUE,BRONX,04 BRONX,Precinct 44,16,2028570015,11/23/2021,Open,Graffiti Reported,,1006632,245960,40.841751,-73.919108,10452, 219  ,2008299,Highbridge,"(40.841751, -73.919108)"
52-19 103 STREET,QUEENS,04 QUEENS,Precinct 110,21,4019430118,09/21/2021,Open,Graffiti Reported,,1023646,209451,40.741484,-73.857832,11368, 439  ,4307697,Corona,"(40.741484, -73.857832)"
4512 THIRD AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007450046,08/18/2021,Open,Site downloaded for cleaning,,980970,176218,40.650354,-74.011820,11220,   2  ,3011488,Sunset Park West,"(40.650354, -74.01182)"
102-31 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4091870043,12/02/2021,Open,Graffiti Reported,,1027431,192589,40.695184,-73.844281,11418,  26  ,4191675,Richmond Hill,"(40.695184, -73.844281)"
83 EAST  184 STREET,BRONX,05 BRONX,Precinct 46,14,2031840076,12/22/2021,Open,Site to be cleaned.,,1011641,252633,40.860052,-73.900978,10468, 239  ,2014041,Fordham South,"(40.860052, -73.900978)"
2589 BEDFORD AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3052110034,10/12/2021,Open,Graffiti Reported,,996953,172514,40.640179,-73.954228,11226, 790  ,3120348,Erasmus,"(40.640179, -73.954228)"
402 WEST   51 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010600036,07/29/2021,Open,Site downloaded for cleaning,,987306,217733,40.764303,-73.988968,10019, 133  ,1026690,Clinton,"(40.764303, -73.988968)"
1680 JEROME AVENUE,BRONX,05 BRONX,Precinct 46,14,2028480012,12/28/2021,Open,Site to be cleaned.,,1008230,247626,40.846319,-73.913327,10453, 22701,2008154,Mount Hope,"(40.846319, -73.913327)"
2381 LAFAYETTE AVENUE,BRONX,09 BRONX,Precinct 43,18,2036960045,12/16/2021,Open,Graffiti Reported,,1027405,239497,40.823934,-73.844074,10473,  98  ,2023215,Westchester-Unionport,"(40.823934, -73.844074)"
156 STANTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,02,1003500036,08/26/2021,Open,Site downloaded for cleaning,,988378,201751,40.720436,-73.985108,10002,  3001,1004256,Chinatown,"(40.720436, -73.985108)"
167 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031590001,06/24/2021,Open,Graffiti Reported,,1004282,195830,40.704162,-73.927751,11237, 427  ,3071989,Bushwick North,"(40.704162, -73.927751)"
243 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007220043,01/04/2022,Open,Site to be cleaned.,,984154,211741,40.747580,-74.000545,10001,  93  ,1012804,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.74758, -74.000545)"
40 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 5,01,1002020030,11/02/2021,Open,Graffiti Reported,,985236,200008,40.715601,-73.996476,10013,  29  ,1002433,Chinatown,"(40.715601, -73.996476)"
575 HALSEY STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016610050,12/19/2021,Open,Site to be cleaned.,,1003698,188524,40.684111,-73.929878,11233, 295  ,3046168,Stuyvesant Heights,"(40.684111, -73.929878)"
6701 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,38,3055660003,11/30/2021,Open,Property Research Required,,984722,165729,40.621565,-73.998300,11219, 262  ,3134556,Bensonhurst West,"(40.621565, -73.9983)"
5804 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008540038,08/18/2021,Open,Graffiti Reported,,979436,173136,40.641894,-74.017346,11220,  74  ,3015940,Sunset Park West,"(40.641894, -74.017346)"
194 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030440002,08/11/2021,Open,Site downloaded for cleaning,,999948,197403,40.708489,-73.943379,11206, 493  ,3070988,Bushwick South,"(40.708489, -73.943379)"
6126 AMBOY ROAD,STATEN ISLAND,03 STATEN ISLAND,Precinct 123,51,5068050142,10/06/2021,Open,Graffiti Reported,,925605,130449,40.524534,-74.210945,10309, 198  ,5083334,Annadale-Huguenot-Prince's Bay-Eltingville,"(40.524534, -74.210945)"
west 169 street audubon avenue,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,09/11/2021,Open,Property Research Required,,,,,,,,,,
943 SHERMAN AVENUE,BRONX,04 BRONX,Precinct 44,16,2024550042,11/07/2021,Open,Site downloaded for cleaning,,1006614,240989,40.828041,-73.919226,10456, 18302,2002718,East Concourse-Concourse Village,"(40.828041, -73.919226)"
53-20 103 STREET,QUEENS,04 QUEENS,Precinct 110,21,4019410069,09/21/2021,Open,Graffiti Reported,,1023753,209312,40.741102,-73.857446,11368, 44301,4431685,Corona,"(40.741102, -73.857446)"
10406 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 69,46,3082120041,09/29/2021,Open,Site downloaded for cleaning,,1013489,175214,40.647137,-73.895269,11236, 986  ,3230532,Canarsie,"(40.647137, -73.895269)"
6701 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058560021,12/09/2021,Open,Site downloaded for cleaning,,978650,170797,40.635473,-74.020177,11220, 126  ,3144766,Bay Ridge,"(40.635473, -74.020177)"
261 7 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 13,03,1008000077,12/03/2021,Open,Graffiti Reported,,985750,210895,40.745293,-73.994763,10001,  91  ,1014997,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.745293, -73.994763)"
2765 WEBSTER AVENUE,BRONX,07 BRONX,Precinct 52,15,2032780083,12/17/2021,Open,Site to be cleaned.,,1015712,254714,40.865750,-73.886251,10458, 40502,2016401,Bedford Park-Fordham North,"(40.86575, -73.886251)"
23 BEDFORD STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1005280040,10/07/2021,Open,Graffiti Reported,,983264,204927,40.729154,-74.003558,10014,  67  ,1008397,West Village,"(40.729154, -74.003558)"
50 EAST FOURTH STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004590010,11/09/2021,Open,Site downloaded for cleaning,,986701,204112,40.726917,-73.991157,10003,  38  ,1006569,East Village,"(40.726917, -73.991157)"
4708 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007670038,12/08/2021,Open,Property Research Required,,983058,173909,40.644017,-74.004295,11220,  96  ,3012369,Sunset Park East,"(40.644017, -74.004295)"
201 WEST  136 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,09,1019420029,07/28/2021,Open,Graffiti Reported,,999835,236642,40.816190,-73.943695,10030, 228  ,1058955,Central Harlem North-Polo Grounds,"(40.81619, -73.943695)"
151 WEST   28 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,03,1008040008,08/12/2021,Open,Graffiti Reported,,986480,211303,40.746655,-73.991952,10001,  95  ,1015098,Midtown-Midtown South,"(40.746655, -73.991952)"
1011 EAST   94 STREET,BROOKLYN,18 BROOKLYN,Precinct 69,46,3081630032,09/29/2021,Open,Graffiti Reported,,1010258,174289,40.645022,-73.906281,11236, 968  ,3229312,Canarsie,"(40.645022, -73.906281)"
4414 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007410045,09/14/2021,Open,Site downloaded for cleaning,,984148,174028,40.644344,-74.000368,11220,  94  ,3011381,Sunset Park East,"(40.644344, -74.000368)"
42-57 27 STREET,QUEENS,02 QUEENS,Precinct 108,26,4004310030,08/04/2021,Open,Graffiti Reported,,1000570,212089,40.748797,-73.941100,11101,  19  ,4005120,Hunters Point-Sunnyside-West Maspeth,"(40.748797, -73.9411)"
1153 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018220007,10/18/2021,Open,Graffiti Reported,,996999,188491,40.684032,-73.954032,11216, 245  ,3051545,Bedford,"(40.684032, -73.954032)"
73-01 37 AVENUE,QUEENS,03 QUEENS,Precinct 115,25,4012730039,08/12/2021,Open,Site downloaded for cleaning,,1014017,212135,40.748888,-73.892568,11372, 289  ,4029559,Jackson Heights,"(40.748888, -73.892568)"
835 DEKALB AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017760046,11/16/2021,Open,Site downloaded for cleaning,,1000099,191527,40.692319,-73.943223,11221, 261  ,3049553,Bedford,"(40.692319, -73.943223)"
